what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1516799696404
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1516799696405
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1516799696406
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1516799696406
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1516799696407
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1516799696408
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1516799696409
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1516799696413
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1516799696414
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1516799696414
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1516799696416
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1516799696416
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1516799696417
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1516799696418
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1516799696419
os,sysinfo,,,"win32",1516799696422
arch,sysinfo,,,"x86",1516799696422
ws,sysinfo,,,"win32",1516799696422
locale,sysinfo,,,"en_GB",1516799696422
processors,sysinfo,,,"4",1516799696422
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1516799696422
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1516799696422
java.specification.name,sysinfo,,,"Java Platform API Specification",1516799696422
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1516799696422
java.specification.version,sysinfo,,,"1.6",1516799696422
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1516799696422
java.version,sysinfo,,,"1.6.0_02",1516799696422
java.vm.info,sysinfo,,,"mixed mode",1516799696422
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1516799696422
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1516799696422
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1516799696422
java.vm.specification.version,sysinfo,,,"1.0",1516799696422
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1516799696422
java.vm.version,sysinfo,,,"1.6.0_02-b06",1516799696422
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1516799696469
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1516799696568
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1516799696716
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1516799696729
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1516799696788
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1516799696829
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1516799696840
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1516799696961
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1516799696967
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1516799696977
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1516799697253
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1516799697706
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1516799698165
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1516799698199
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1516799720795
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1516799728473
